Date,Open,Close
2018-10-18,217.86,216.02
2018-10-19,218.06,219.31
2018-10-22,219.79,220.65
2018-10-23,215.83,222.73
2018-10-24,222.6,215.09
2018-10-25,217.71,219.8
2018-10-26,215.9,216.3
2018-10-29,219.19,212.24
2018-10-30,211.15,213.3
2018-10-31,216.88,218.86
2018-11-01,219.05,222.22
2018-11-02,209.55,207.48
2018-11-05,204.3,201.59
2018-11-06,201.92,203.77
2018-11-07,205.97,209.95
2018-11-08,209.98,208.49
2018-11-09,205.55,204.47
2018-11-12,199.0,194.17
2018-11-13,191.63,192.23
2018-11-14,193.9,186.8
2018-11-15,188.39,191.41
2018-11-16,190.5,193.53
2018-11-19,190.0,185.86
2018-11-20,178.37,176.98
2018-11-21,179.73,176.78
2018-11-23,174.94,172.29
2018-11-26,174.24,174.62
2018-11-27,171.51,174.24
2018-11-28,176.73,180.94
2018-11-29,182.66,179.55
2018-11-30,180.29,178.58
2018-12-03,184.46,184.82
2018-12-04,180.95,176.69
2018-12-06,171.76,174.72
2018-12-07,173.49,168.49
2018-12-10,165.0,169.6
2018-12-11,171.66,168.63
2018-12-12,170.4,169.1
2018-12-13,170.49,170.95
2018-12-14,169.0,165.48
2018-12-17,165.45,163.94
2018-12-18,165.38,166.07
2018-12-19,166.0,160.89
2018-12-20,160.4,156.83
2018-12-21,156.86,150.73
2018-12-24,148.15,146.83
2018-12-26,148.3,157.17
2018-12-27,155.84,156.15
2018-12-28,157.5,156.23
2018-12-31,158.53,157.74
2019-01-02,154.89,157.92
2019-01-03,143.98,142.19
2019-01-04,144.53,148.26
2019-01-07,148.7,147.93
2019-01-08,149.56,150.75
2019-01-09,151.29,153.31
2019-01-10,152.5,153.8
2019-01-11,152.88,152.29
2019-01-14,150.85,150.0
2019-01-15,150.27,153.07
2019-01-16,153.08,154.94
2019-01-17,154.2,155.86
2019-01-18,157.5,156.82
2019-01-22,156.41,153.3
2019-01-23,154.15,153.92
2019-01-24,154.11,152.7
2019-01-25,155.48,157.76
2019-01-28,155.79,156.3
2019-01-29,156.25,154.68
2019-01-30,163.25,165.25
2019-01-31,166.11,166.44
2019-02-01,166.96,166.52
2019-02-04,167.41,171.25
2019-02-05,172.86,174.18
2019-02-06,174.65,174.24
2019-02-07,172.4,170.94
2019-02-08,168.99,170.41
2019-02-11,171.05,169.43
2019-02-12,170.1,170.89
2019-02-13,171.39,170.18
2019-02-14,169.71,170.8
2019-02-15,171.25,170.42
2019-02-19,169.71,170.93
2019-02-20,171.19,172.03
2019-02-21,171.8,171.06
2019-02-22,171.58,172.97
2019-02-25,174.16,174.23
2019-02-26,173.71,174.33
2019-02-27,173.21,174.87
2019-02-28,174.32,173.15
2019-03-01,174.28,174.97
2019-03-04,175.69,175.85
2019-03-05,175.94,175.53
2019-03-06,174.67,174.52
2019-03-07,173.87,172.5
2019-03-08,170.32,172.91
2019-03-11,175.49,178.9
2019-03-12,180.0,180.91
2019-03-13,182.25,181.71
