Date,Open,Close
2010-03-08,31.43,31.297
2010-03-09,31.187,31.86
2010-03-10,31.976,32.12
2010-03-11,31.987,32.214
2010-03-12,32.481,32.371
2010-03-15,32.197,31.977
2010-03-16,32.026,32.064
2010-03-17,32.129,32.017
2010-03-18,32.014,32.093
2010-03-19,32.113,31.75
2010-03-22,31.496,32.107
2010-03-23,32.234,32.623
2010-03-24,32.52,32.767
2010-03-25,32.989,32.379
2010-03-26,32.707,32.986
2010-03-29,33.286,33.199
2010-03-30,33.8,33.693
2010-03-31,33.641,33.571
2010-04-01,33.916,33.71
2010-04-05,33.569,34.07
2010-04-06,34.029,34.22
2010-04-07,34.221,34.371
2010-04-08,34.349,34.279
2010-04-09,34.49,34.541
2010-04-12,34.6,34.613
2010-04-13,34.551,34.633
2010-04-14,35.04,35.099
2010-04-15,35.111,35.56
2010-04-16,35.51,35.343
2010-04-19,35.29,35.296
2010-04-20,35.506,34.941
2010-04-21,36.971,37.031
2010-04-22,36.891,38.067
2010-04-23,38.284,38.69
2010-04-26,38.84,38.5
2010-04-27,38.181,37.434
2010-04-28,37.607,37.371
2010-04-29,37.574,38.377
2010-04-30,38.473,37.299
2010-05-03,37.691,38.05
2010-05-04,37.556,36.954
2010-05-05,36.147,36.57
2010-05-06,36.261,35.179
2010-05-07,34.816,33.694
2010-05-10,35.75,36.284
2010-05-11,35.977,36.646
2010-05-12,37.034,37.441
2010-05-13,37.603,36.909
2010-05-14,36.451,36.26
2010-05-17,36.386,36.317
2010-05-18,36.711,36.051
2010-05-19,35.643,35.477
2010-05-20,34.554,33.966
2010-05-21,33.26,34.617
2010-05-24,35.326,35.251
2010-05-25,34.193,35.031
2010-05-26,35.726,34.873
2010-05-27,35.8,36.193
2010-05-28,37.056,36.697
2010-06-01,37.099,37.261
2010-06-02,37.791,37.707
2010-06-03,37.883,37.589
2010-06-04,36.887,36.566
2010-06-07,36.899,35.849
2010-06-08,36.177,35.619
2010-06-09,35.924,34.743
2010-06-10,34.977,35.787
2010-06-11,35.461,36.216
2010-06-14,36.566,36.326
2010-06-15,36.52,37.099
2010-06-16,37.3,38.179
2010-06-17,38.657,38.839
2010-06-18,38.893,39.153
2010-06-21,39.67,38.596
2010-06-22,38.88,39.121
2010-06-23,39.226,38.71
2010-06-24,38.714,38.429
2010-06-25,38.58,38.1
2010-06-28,38.133,38.329
2010-06-29,37.731,36.596
2010-06-30,36.673,35.933
2010-07-01,36.329,35.497
2010-07-02,35.784,35.277
2010-07-06,35.857,35.519
2010-07-07,35.784,36.953
2010-07-08,37.497,36.87
2010-07-09,36.699,37.089
2010-07-12,36.933,36.756
2010-07-13,36.617,35.971
2010-07-14,35.626,36.104
2010-07-15,35.461,35.921
2010-07-16,36.169,35.7
2010-07-19,35.697,35.083
2010-07-20,34.7,35.984
2010-07-21,37.87,36.32
2010-07-22,36.811,37.003
2010-07-23,36.727,37.134
2010-07-26,37.143,37.04
2010-07-27,37.267,37.726
2010-07-28,37.667,37.28
2010-07-29,37.244,36.873
2010-07-30,36.556,36.75
2010-08-02,37.206,37.407
2010-08-03,37.287,37.419
2010-08-04,37.549,37.569
2010-08-05,37.39,37.386
2010-08-06,37.111,37.156
2010-08-09,37.354,37.393
2010-08-10,37.121,37.059
2010-08-11,36.486,35.741
2010-08-12,35.241,35.97
2010-08-13,35.95,35.586
2010-08-16,35.369,35.377
2010-08-17,35.726,35.996
2010-08-18,36.051,36.153
2010-08-19,36.12,35.697
2010-08-20,35.627,35.663
