Date,Open,Close
2010-01-04,30.62,30.95
2010-01-05,30.85,30.96
2010-01-06,30.88,30.77
2010-01-07,30.63,30.45
2010-01-08,30.28,30.66
2010-01-11,30.71,30.27
2010-01-12,30.15,30.07
2010-01-13,30.26,30.35
2010-01-14,30.31,30.96
2010-01-15,31.08,30.86
2010-01-19,30.75,31.1
2010-01-20,30.81,30.59
2010-01-21,30.61,30.01
2010-01-22,30.0,28.96
2010-01-25,29.24,29.32
2010-01-26,29.2,29.5
2010-01-27,29.35,29.67
2010-01-28,29.84,29.16
2010-01-29,29.9,28.18
2010-02-01,28.39,28.41
2010-02-02,28.37,28.46
2010-02-03,28.26,28.63
2010-02-04,28.38,27.84
2010-02-05,28.0,28.02
2010-02-08,28.01,27.72
2010-02-09,27.97,28.01
2010-02-10,28.03,27.99
2010-02-11,27.93,28.12
2010-02-12,27.81,27.93
2010-02-16,28.13,28.35
2010-02-17,28.53,28.59
2010-02-18,28.59,28.97
2010-02-19,28.79,28.77
2010-02-22,28.84,28.73
2010-02-23,28.68,28.33
2010-02-24,28.52,28.63
2010-02-25,28.27,28.6
2010-02-26,28.65,28.67
2010-03-01,28.77,29.02
2010-03-02,29.08,28.46
2010-03-03,28.51,28.46
2010-03-04,28.46,28.63
2010-03-05,28.66,28.59
2010-03-08,28.52,28.63
2010-03-09,28.56,28.8
2010-03-10,28.86,28.97
2010-03-11,28.89,29.18
2010-03-12,29.32,29.27
2010-03-15,29.18,29.29
2010-03-16,29.42,29.37
2010-03-17,29.5,29.63
2010-03-18,29.63,29.61
2010-03-19,29.76,29.59
2010-03-22,29.5,29.6
2010-03-23,29.59,29.88
2010-03-24,29.72,29.65
2010-03-25,29.83,30.01
2010-03-26,30.09,29.66
2010-03-29,29.71,29.59
2010-03-30,29.63,29.77
2010-03-31,29.64,29.29
2010-04-01,29.35,29.16
2010-04-05,29.13,29.27
2010-04-06,29.15,29.32
2010-04-07,29.16,29.35
2010-04-08,29.32,29.92
2010-04-09,29.95,30.34
2010-04-12,30.25,30.32
2010-04-13,30.15,30.45
2010-04-14,30.79,30.82
2010-04-15,30.82,30.87
2010-04-16,30.79,30.67
2010-04-19,30.77,31.04
2010-04-20,31.22,31.36
2010-04-21,31.33,31.33
2010-04-22,31.04,31.39
2010-04-23,31.12,30.96
2010-04-26,31.0,31.11
2010-04-27,30.95,30.85
2010-04-28,30.92,30.91
2010-04-29,30.93,31.0
2010-04-30,31.07,30.54
2010-05-03,30.67,30.86
2010-05-04,30.52,30.13
2010-05-05,29.77,29.85
2010-05-06,29.59,28.98
2010-05-07,28.93,28.21
2010-05-10,29.01,28.94
2010-05-11,28.68,28.88
2010-05-12,28.98,29.44
2010-05-13,29.26,29.24
2010-05-14,29.2,28.93
2010-05-17,29.12,28.94
2010-05-18,28.87,28.6
2010-05-19,28.52,28.24
2010-05-20,27.65,27.11
2010-05-21,26.63,26.84
2010-05-24,26.85,26.27
2010-05-25,25.65,26.07
2010-05-26,26.23,25.01
2010-05-27,25.73,26.0
2010-05-28,25.84,25.8
2010-06-01,25.53,25.89
2010-06-02,26.06,26.46
2010-06-03,26.55,26.86
2010-06-04,26.1,25.79
2010-06-07,25.82,25.29
2010-06-08,25.25,25.11
2010-06-09,25.22,24.79
2010-06-10,25.13,25.0
2010-06-11,25.04,25.66
2010-06-14,25.86,25.5
2010-06-15,25.75,26.58
2010-06-16,26.47,26.32
2010-06-17,26.56,26.37
2010-06-18,26.37,26.44
2010-06-21,26.78,25.95
2010-06-22,26.16,25.77
2010-06-23,25.78,25.31
2010-06-24,25.46,25.0
2010-06-25,25.05,24.53
2010-06-28,24.51,24.31
2010-06-29,24.13,23.31
2010-06-30,23.3,23.01
2010-07-01,23.09,23.16
2010-07-02,23.36,23.27
2010-07-06,23.7,23.82
2010-07-07,23.82,24.3
2010-07-08,24.6,24.41
2010-07-09,24.33,24.27
2010-07-12,24.43,24.83
2010-07-13,25.14,25.13
2010-07-14,25.5,25.44
2010-07-15,25.5,25.51
2010-07-16,25.51,24.89
2010-07-19,24.96,25.23
2010-07-20,24.86,25.48
2010-07-21,25.6,25.12
2010-07-22,25.51,25.84
2010-07-23,25.84,25.81
2010-07-26,25.86,26.1
2010-07-27,26.14,26.16
2010-07-28,26.07,25.95
2010-07-29,26.13,26.03
2010-07-30,25.75,25.81
2010-08-02,25.99,26.33
2010-08-03,26.2,26.16
2010-08-04,26.15,25.73
2010-08-05,25.49,25.37
2010-08-06,25.18,25.55
2010-08-09,25.55,25.61
2010-08-10,25.33,25.07
2010-08-11,24.68,24.86
2010-08-12,24.42,24.49
2010-08-13,24.35,24.4
2010-08-16,24.36,24.5
2010-08-17,24.71,24.71
2010-08-18,24.68,24.82
2010-08-19,24.62,24.44
2010-08-20,24.31,24.23
2010-08-23,24.44,24.28
2010-08-24,24.09,24.04
2010-08-25,24.0,24.1
2010-08-26,24.09,23.82
2010-08-27,23.88,23.93
2010-08-30,23.74,23.64
2010-08-31,23.6,23.47
2010-09-01,23.67,23.9
2010-09-02,23.88,23.94
2010-09-03,24.24,24.29
2010-09-07,24.1,23.96
2010-09-08,24.07,23.93
2010-09-09,24.19,24.01
2010-09-10,23.98,23.85
2010-09-13,24.2,25.11
2010-09-14,25.04,25.03
2010-09-15,25.1,25.12
2010-09-16,25.06,25.33
2010-09-17,25.4,25.22
2010-09-20,25.28,25.43
2010-09-21,25.42,25.15
2010-09-22,24.89,24.61
2010-09-23,24.51,24.43
2010-09-24,24.64,24.78
2010-09-27,24.85,24.73
2010-09-28,24.8,24.68
2010-09-29,24.63,24.5
2010-09-30,24.61,24.49
2010-10-01,24.77,24.38
2010-10-04,23.96,23.91
2010-10-05,24.06,24.35
2010-10-06,24.32,24.43
2010-10-07,24.62,24.53
2010-10-08,24.62,24.57
