Date,Open,Close
2010-01-04,136.25,133.9
2010-01-05,133.43,134.69
2010-01-06,134.6,132.25
2010-01-07,132.01,130.0
2010-01-08,130.56,133.52
2010-01-11,132.62,130.31
2010-01-12,128.99,127.35
2010-01-13,127.9,129.11
2010-01-14,129.14,127.35
2010-01-15,129.18,127.14
2010-01-19,126.31,127.61
2010-01-20,127.13,125.78
2010-01-21,127.26,126.62
2010-01-22,125.6,121.43
2010-01-25,122.1,120.31
2010-01-26,120.56,119.48
2010-01-27,121.03,122.75
2010-01-28,124.43,126.03
2010-01-29,129.77,125.41
2010-02-01,123.18,118.87
2010-02-02,118.79,118.12
2010-02-03,117.12,119.1
2010-02-04,118.64,115.94
2010-02-05,115.88,117.39
2010-02-08,119.38,116.83
2010-02-09,118.2,118.03
2010-02-10,118.0,117.36
2010-02-11,117.21,120.09
2010-02-12,118.99,119.66
2010-02-16,120.06,117.53
2010-02-17,117.07,116.31
2010-02-18,115.84,118.08
2010-02-19,117.91,117.52
2010-02-22,117.37,118.01
2010-02-23,118.01,117.24
2010-02-24,117.96,119.72
2010-02-25,118.17,118.2
2010-02-26,117.88,118.4
2010-03-01,118.7,124.54
2010-03-02,125.01,125.53
2010-03-03,125.4,125.89
2010-03-04,125.98,128.53
2010-03-05,129.13,128.91
2010-03-08,128.3,130.11
2010-03-09,129.59,128.82
2010-03-10,129.11,130.51
2010-03-11,130.45,133.58
2010-03-12,134.2,131.82
2010-03-15,131.7,131.13
2010-03-16,131.24,131.79
2010-03-17,132.41,131.34
2010-03-18,131.02,132.76
2010-03-19,133.71,130.35
2010-03-22,130.2,130.47
2010-03-23,130.89,129.26
2010-03-24,128.64,128.04
2010-03-25,129.14,134.73
2010-03-26,134.9,135.06
2010-03-29,135.37,135.12
2010-03-30,135.74,136.58
2010-03-31,136.0,135.77
2010-04-01,135.8,131.81
2010-04-05,132.85,131.49
2010-04-06,131.23,135.56
2010-04-07,135.96,134.87
2010-04-08,134.71,140.96
2010-04-09,140.72,140.06
2010-04-12,140.0,141.2
2010-04-13,141.23,140.16
2010-04-14,140.34,144.28
2010-04-15,144.55,145.82
2010-04-16,144.88,142.17
2010-04-19,142.35,142.43
2010-04-20,143.83,144.2
2010-04-21,145.17,146.43
2010-04-22,147.01,150.09
2010-04-23,145.38,143.63
2010-04-26,143.2,147.11
2010-04-27,145.55,142.02
2010-04-28,142.59,139.35
2010-04-29,140.09,141.73
2010-04-30,141.4,137.1
2010-05-03,137.2,137.49
2010-05-04,135.62,129.83
2010-05-05,128.0,130.93
2010-05-06,130.0,128.71
2010-05-07,127.97,124.98
2010-05-10,129.73,131.29
2010-05-11,129.95,130.46
2010-05-12,131.41,133.87
2010-05-13,133.93,131.47
2010-05-14,130.36,128.53
2010-05-17,128.24,128.91
2010-05-18,130.14,126.28
2010-05-19,125.51,124.59
2010-05-20,122.64,119.71
2010-05-21,117.9,122.72
2010-05-24,122.57,122.12
2010-05-25,118.54,124.86
2010-05-26,125.05,123.21
2010-05-27,124.98,126.7
2010-05-28,126.07,125.46
2010-06-01,124.97,123.24
2010-06-02,124.02,126.31
2010-06-03,126.25,128.76
2010-06-04,126.33,122.77
2010-06-07,125.84,122.01
2010-06-08,122.0,118.84
2010-06-09,120.31,117.91
2010-06-10,120.0,123.21
2010-06-11,121.39,123.03
2010-06-14,124.24,123.83
2010-06-15,123.2,126.84
2010-06-16,125.39,126.9
2010-06-17,126.74,125.89
2010-06-18,126.48,125.83
2010-06-21,126.79,122.55
2010-06-22,122.65,122.31
2010-06-23,122.11,121.45
2010-06-24,120.61,118.33
